;id;full_name;first_name;last_name;is_active
479;1629649;Ignas Brazdeikis;Ignas;Brazdeikis;False
480;160;Tim Breaux;Tim;Breaux;False
481;2452;J.R. Bremer;J.R.;Bremer;False
482;76245;Pete Brennan;Pete;Brennan;False
483;76246;Tom Brennan;Tom;Brennan;False
484;76247;Randy Breuer;Randy;Breuer;False
485;201147;Corey Brewer;Corey;Brewer;False
486;2249;Jamison Brewer;Jamison;Brewer;False
487;76248;Jim Brewer;Jim;Brewer;False
488;76249;Ron Brewer;Ron;Brewer;False
489;200758;Ronnie Brewer;Ronnie;Brewer;False
490;2056;Primoz Brezec;Primoz;Brezec;False
491;76250;Frank Brian;Frank;Brian;False
492;783;Frank Brickowski;Frank;Brickowski;False
493;76252;Junior Bridgeman;Junior;Bridgeman;False
494;76253;Bill Bridges;Bill;Bridges;False
495;1628969;Mikal Bridges;Mikal;Bridges;True
496;1628970;Miles Bridges;Miles;Bridges;False
497;76254;Al Brightman;Al;Brightman;False
498;1628578;Amida Brimah;Amida;Brimah;False
499;76255;Audley Brindley;Audley;Brindley;False
500;1628515;Isaiah Briscoe;Isaiah;Briscoe;False
501;76256;John Brisker;John;Brisker;False
502;1629052;Oshae Brissett;Oshae;Brissett;True
503;76257;Allan Bristow;Allan;Bristow;False
504;76258;Tyrone Britt;Tyrone;Britt;False
505;76259;Wayman Britt;Wayman;Britt;False
506;76260;Mike Brittain;Mike;Brittain;False
507;76261;David Britton;David;Britton;False
508;201972;Jon Brockman;Jon;Brockman;False
509;1629151;Ryan Broekhoff;Ryan;Broekhoff;False
510;76262;Jim Brogan;Jim;Brogan;False
511;1627763;Malcolm Brogdon;Malcolm;Brogdon;True
512;76263;Gary Brokaw;Gary;Brokaw;False
513;76264;Price Brookfield;Price;Brookfield;False
514;201166;Aaron Brooks;Aaron;Brooks;False
515;1629717;Armoni Brooks;Armoni;Brooks;False
516;1628415;Dillon Brooks;Dillon;Brooks;True
517;76265;Kevin Brooks;Kevin;Brooks;False
518;202705;MarShon Brooks;MarShon;Brooks;False
519;76266;Michael Brooks;Michael;Brooks;False
520;418;Scott Brooks;Scott;Brooks;False
521;2810;Andre Brown;Andre;Brown;False
522;1626148;Anthony Brown;Anthony;Brown;False
523;76284;Bob Brown;Bob;Brown;False
524;201628;Bobby Brown;Bobby;Brown;False
525;1628971;Bruce Brown;Bruce;Brown;True
526;359;Chucky Brown;Chucky;Brown;False
527;2245;Damone Brown;Damone;Brown;False
528;76270;Darrell Brown;Darrell;Brown;False
529;244;Dee Brown;Dee;Brown;False
530;200793;Dee Brown;Dee;Brown;False
531;201974;Derrick Brown;Derrick;Brown;False
532;2484;Devin Brown;Devin;Brown;False
533;2081;Ernest Brown;Ernest;Brown;False
534;76272;Fred Brown;Fred;Brown;False
535;1631122;Gabe Brown;Gabe;Brown;True
536;76273;George Brown;George;Brown;False
537;1871;Gerald Brown;Gerald;Brown;False
538;76275;Harold Brown;Harold;Brown;False
539;203913;Jabari Brown;Jabari;Brown;False
540;1627759;Jaylen Brown;Jaylen;Brown;True
541;76276;John Brown;John;Brown;False
542;2208;Kedrick Brown;Kedrick;Brown;False
543;1631112;Kendall Brown;Kendall;Brown;True
544;2198;Kwame Brown;Kwame;Brown;False
545;76278;Leon Brown;Leon;Brown;False
546;76279;Lewis Brown;Lewis;Brown;False
547;203485;Lorenzo Brown;Lorenzo;Brown;False
548;992;Marcus Brown;Marcus;Brown;False
549;203900;Markel Brown;Markel;Brown;False
550;1479;Mike Brown;Mike;Brown;False
551;1629650;Moses Brown;Moses;Brown;True
552;76277;Myron Brown;Myron;Brown;False
553;136;P.J. Brown;P.J.;Brown;False
554;753;Randy Brown;Randy;Brown;False
555;76282;Raymond Brown;Raymond;Brown;False
556;76283;Rickey Brown;Rickey;Brown;False
557;76286;Roger Brown;Roger;Brown;False
558;200769;Shannon Brown;Shannon;Brown;False
559;76285;Stan Brown;Stan;Brown;False
560;1628425;Sterling Brown;Sterling;Brown;False
561;2357;Tierre Brown;Tierre;Brown;False
562;76268;Tony Brown;Tony;Brown;False
563;1630535;Greg Brown III;Greg;Brown III;True
564;1629718;Charlie Brown Jr.;Charlie;Brown Jr.;True
565;1630602;Chaundee Brown Jr.;Chaundee;Brown Jr.;False
566;1628972;Troy Brown Jr.;Troy;Brown Jr.;True
567;76287;Jim Browne;Jim;Browne;False
568;76288;Stanley Brundy;Stanley;Brundy;False
569;1628973;Jalen Brunson;Jalen;Brunson;True
570;1594;Rick Brunson;Rick;Brunson;False
571;1627852;Nicolas Brussino;Nicolas;Brussino;False
572;1629091;Elijah Bryant;Elijah;Bryant;False
573;76289;Emmette Bryant;Emmette;Bryant;False
574;76290;Joe Bryant;Joe;Bryant;False
575;977;Kobe Bryant;Kobe;Bryant;False
576;95;Mark Bryant;Mark;Bryant;False
577;1628418;Thomas Bryant;Thomas;Bryant;True
578;76291;Wallace Bryant;Wallace;Bryant;False
579;76292;Torgeir Bryn;Torgeir;Bryn;False
580;1629783;Shaq Buchanan;Shaq;Buchanan;False
581;76293;Joe Buckhalter;Joe;Buckhalter;False
582;76294;Steve Bucknall;Steve;Bucknall;False
583;76295;Cleveland Buckner;Cleveland;Buckner;False
584;1761;Greg Buckner;Greg;Buckner;False
585;76296;Quinn Buckner;Quinn;Buckner;False
586;76297;Dave Budd;Dave;Budd;False
587;201978;Chase Budinger;Chase;Budinger;False
588;76298;Walter Budko;Walter;Budko;False
589;146;Jud Buechler;Jud;Buechler;False
590;1934;Rodney Buford;Rodney;Buford;False
591;672;Matt Bullard;Matt;Bullard;False
592;203493;Reggie Bullock;Reggie;Bullock;True
593;76300;Greg Bunch;Greg;Bunch;False
594;76301;Dick Bunt;Dick;Bunt;False
595;76302;Bill Buntin;Bill;Buntin;False
596;76303;Luther Burden;Luther;Burden;False
597;2469;Pat Burke;Pat;Burke;False
598;203504;Trey Burke;Trey;Burke;True
599;76304;Roger Burkman;Roger;Burkman;False
600;202692;Alec Burks;Alec;Burks;True
601;2766;Antonio Burks;Antonio;Burks;False
602;101207;Kevin Burleson;Kevin;Burleson;False
603;76305;Tom Burleson;Tom;Burleson;False
604;76306;Jack Burmaster;Jack;Burmaster;False
605;76307;David Burns;David;Burns;False
606;76308;Evers Burns;Evers;Burns;False
607;76309;Jim Burns;Jim;Burns;False
608;197;Scott Burrell;Scott;Burrell;False
609;76311;Art Burris;Art;Burris;False
610;675;Junior Burrough;Junior;Burrough;False
611;76313;Bob Burrow;Bob;Burrow;False
612;1629126;Deonte Burton;Deonte;Burton;False
613;76314;Ed Burton;Ed;Burton;False
614;416;Willie Burton;Willie;Burton;False
615;76316;Steve Burtt;Steve;Burtt;False
616;76317;Don Buse;Don;Buse;False
617;202221;Brian Butch;Brian;Butch;False
618;76318;Donnie Butcher;Donnie;Butcher;False
619;76319;Al Butler;Al;Butler;False
620;2406;Caron Butler;Caron;Butler;False
621;202364;Da'Sean Butler;Da'Sean;Butler;False
622;76320;Greg Butler;Greg;Butler;False
623;2866;Jackie Butler;Jackie;Butler;False
624;1630215;Jared Butler;Jared;Butler;True
625;202710;Jimmy Butler;Jimmy;Butler;True
626;348;Mitchell Butler;Mitchell;Butler;False
627;2446;Rasual Butler;Rasual;Butler;False
628;202779;Dwight Buycks;Dwight;Buycks;False
629;201182;Derrick Byars;Derrick;Byars;False
630;101115;Andrew Bynum;Andrew;Bynum;False
631;101198;Will Bynum;Will;Bynum;False
632;76321;Marty Byrnes;Marty;Byrnes;False
633;76322;Tommy Byrnes;Tommy;Byrnes;False
634;76323;Mike Bytzura;Mike;Bytzura;False
635;2560;Zarko Cabarkapa;Zarko;Cabarkapa;False
636;76324;Barney Cable;Barney;Cable;False
637;203998;Bruno Caboclo;Bruno;Caboclo;False
638;1629719;Devontae Cacok;Devontae;Cacok;False
639;679;Jason Caffey;Jason;Caffey;False
640;262;Michael Cage;Michael;Cage;False
641;1631288;Jamal Cain;Jamal;Cain;True
642;76326;Gerry Calabrese;Gerry;Calabrese;False
643;201979;Nick Calathes;Nick;Calathes;False
644;101181;Jose Calderon;Jose;Calderon;False
645;154;Adrian Caldwell;Adrian;Caldwell;False
646;76328;Jim Caldwell;Jim;Caldwell;False
647;76329;Joe Caldwell;Joe;Caldwell;False
648;203484;Kentavious Caldwell-Pope;Kentavious;Caldwell-Pope;True
649;76331;Bill Calhoun;Bill;Calhoun;False
650;76330;Corky Calhoun;Corky;Calhoun;False
651;76332;Demetrius Calip;Demetrius;Calip;False
652;76333;Tom Callahan;Tom;Callahan;False
653;76334;Rick Calloway;Rick;Calloway;False
654;76335;Ernie Calverley;Ernie;Calverley;False
655;76336;Mack Calvin;Mack;Calvin;False
656;76337;Dexter Cambridge;Dexter;Cambridge;False
657;948;Marcus Camby;Marcus;Camby;False
658;1630267;Facundo Campazzo;Facundo;Campazzo;False
659;922;Elden Campbell;Elden;Campbell;False
660;76338;Tony Campbell;Tony;Campbell;False
661;203477;Isaiah Canaan;Isaiah;Canaan;False
662;1628427;Vlatko Cancar;Vlatko;Cancar;True
663;1629962;Devin Cannady;Devin;Cannady;True
664;76339;Larry Cannon;Larry;Cannon;False
665;203991;Clint Capela;Clint;Capela;True
666;202382;Derrick Caracter;Derrick;Caracter;False
667;2073;Brian Cardinal;Brian;Cardinal;False
668;1630176;Vernon Carey Jr.;Vernon;Carey Jr.;True
669;76340;Howie Carl;Howie;Carl;False
670;76341;Chet Carlisle;Chet;Carlisle;False
671;2367;Geno Carlisle;Geno;Carlisle;False
672;76342;Rick Carlisle;Rick;Carlisle;False
673;76343;Al Carlson;Al;Carlson;False
674;76344;Don Carlson;Don;Carlson;False
675;76345;Bob Carney;Bob;Carney;False
676;200760;Rodney Carney;Rodney;Carney;False
677;76346;Bob Carpenter;Bob;Carpenter;False
