;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
5;6;Nenê;20;DEN;0.0;2.0;585;0.003;80;28.2;10.5;6.1;1.9;1.6;0.8;0.519;0.0;0.578;5.0;0.107;2003
6;7;Carlos Boozer;21;CLE;0.0;1.0;585;0.002;81;25.3;10.0;7.5;1.3;0.7;0.6;0.536;0.0;0.771;5.9;0.139;2003
0;1;LeBron James;19;CLE;78.0;508.0;590;0.861;79;39.5;20.9;5.5;5.9;1.6;0.7;0.417;0.29;0.754;5.1;0.078;2004
1;2;Carmelo Anthony;19;DEN;40.0;430.0;590;0.729;82;36.5;21.0;6.1;2.8;1.2;0.5;0.426;0.322;0.777;6.1;0.098;2004
2;3;Dwyane Wade;22;MIA;0.0;117.0;590;0.198;61;34.9;16.2;4.0;4.5;1.4;0.6;0.465;0.302;0.747;4.6;0.103;2004
3;4;Kirk Hinrich;23;CHI;0.0;4.0;590;0.007;76;35.6;12.0;3.4;6.8;1.3;0.3;0.386;0.39;0.804;4.1;0.072;2004
4;5;Chris Bosh;19;TOR;0.0;2.0;590;0.003;75;33.5;11.5;7.4;1.0;0.8;1.4;0.459;0.357;0.701;6.2;0.119;2004
5;6;Marquis Daniels;23;DAL;0.0;1.0;590;0.002;56;18.6;8.5;2.6;2.1;0.9;0.2;0.494;0.306;0.769;3.2;0.146;2004
0;1;Emeka Okafor;22;CHA;77.0;514.0;630;0.816;73;35.6;15.1;10.9;0.9;0.8;1.7;0.447;0.0;0.609;4.0;0.074;2005
1;2;Ben Gordon;21;CHI;43.0;443.0;630;0.703;82;24.4;15.1;2.6;2.0;0.6;0.1;0.411;0.405;0.863;3.5;0.084;2005
2;3;Dwight Howard;19;ORL;6.0;161.0;630;0.256;82;32.6;12.0;10.0;0.9;0.9;1.7;0.52;0.0;0.671;7.3;0.131;2005
3;4;Andre Iguodala;21;PHI;0.0;14.0;630;0.022;82;32.8;9.0;5.7;3.0;1.7;0.6;0.493;0.331;0.743;6.6;0.118;2005
4;5T;Luol Deng;19;CHI;0.0;1.0;630;0.002;61;27.3;11.7;5.3;2.2;0.8;0.4;0.434;0.265;0.741;3.0;0.086;2005
5;5T;J.R. Smith;19;NOH;0.0;1.0;630;0.002;76;24.5;10.3;2.0;1.9;0.7;0.1;0.394;0.288;0.689;0.2;0.006;2005
0;1;Chris Paul;20;NOK;124.0;623.0;625;0.997;78;36.0;16.1;5.1;7.8;2.2;0.1;0.43;0.282;0.847;10.4;0.178;2006
1;2;Charlie Villanueva;21;TOR;0.0;248.0;625;0.397;81;29.1;13.0;6.4;1.1;0.7;0.8;0.463;0.327;0.706;3.9;0.079;2006
2;3;Andrew Bogut;21;MIL;0.0;98.0;625;0.157;82;28.6;9.4;7.0;2.3;0.6;0.8;0.533;0.0;0.629;5.5;0.113;2006
3;4;Raymond Felton;21;CHA;0.0;79.0;625;0.126;80;30.1;11.9;3.3;5.6;1.3;0.1;0.391;0.358;0.725;2.6;0.051;2006
4;5;Channing Frye;22;NYK;0.0;41.0;625;0.066;65;24.2;12.3;5.8;0.8;0.5;0.7;0.477;0.333;0.825;3.5;0.108;2006
5;6;Deron Williams;21;UTA;1.0;31.0;625;0.05;80;28.8;10.8;2.4;4.5;0.8;0.2;0.421;0.416;0.704;2.8;0.059;2006
6;7T;Danny Granger;22;IND;0.0;2.0;625;0.003;78;22.6;7.5;4.9;1.2;0.7;0.8;0.462;0.323;0.777;5.1;0.139;2006
7;7T;Luther Head;23;HOU;0.0;2.0;625;0.003;80;28.9;8.8;3.3;2.7;1.1;0.1;0.403;0.361;0.699;3.5;0.072;2006
8;9;Ryan Gomes;23;BOS;0.0;1.0;625;0.002;61;22.6;7.6;4.9;1.0;0.6;0.1;0.487;0.333;0.752;3.1;0.108;2006
0;1;Brandon Roy;22;POR;127.0;638.0;640;0.997;57;35.4;16.8;4.4;4.0;1.2;0.2;0.456;0.377;0.838;4.8;0.114;2007
1;2;Andrea Bargnani;21;TOR;1.0;264.0;640;0.413;65;25.1;11.6;3.9;0.8;0.5;0.8;0.427;0.373;0.824;1.9;0.057;2007
2;3;Rudy Gay;20;MEM;0.0;93.0;640;0.145;78;27.0;10.8;4.5;1.3;0.9;0.9;0.422;0.364;0.727;0.5;0.011;2007
3;4;Adam Morrison;22;CHA;0.0;44.0;640;0.069;78;29.8;11.8;2.9;2.1;0.4;0.1;0.376;0.337;0.71;-1.5;-0.03;2007
4;5;Randy Foye;23;MIN;0.0;37.0;640;0.058;82;22.9;10.1;2.7;2.8;0.6;0.3;0.434;0.368;0.854;2.3;0.058;2007
5;6;Paul Millsap;21;UTA;0.0;19.0;640;0.03;82;18.0;6.8;5.2;0.8;0.8;0.9;0.525;0.333;0.673;4.7;0.153;2007
6;7;LaMarcus Aldridge;21;POR;0.0;18.0;640;0.028;63;22.1;9.0;5.0;0.4;0.3;1.2;0.503;0.0;0.722;3.4;0.118;2007
7;8;Jorge Garbajosa;29;TOR;0.0;17.0;640;0.027;67;28.5;8.5;4.9;1.9;1.2;0.2;0.42;0.342;0.731;3.0;0.074;2007
8;9;Tyrus Thomas;20;CHI;0.0;10.0;640;0.016;72;13.4;5.2;3.7;0.6;0.6;1.1;0.475;0.0;0.606;2.2;0.11;2007
9;10;Walter Herrmann;27;CHA;0.0;5.0;640;0.008;48;19.5;9.2;2.9;0.5;0.4;0.1;0.527;0.461;0.774;2.4;0.125;2007
10;11;Craig Smith;23;MIN;0.0;4.0;640;0.006;82;18.7;7.4;5.1;0.6;0.6;0.2;0.531;0.0;0.624;3.9;0.121;2007
11;12;Rajon Rondo;20;BOS;0.0;3.0;640;0.005;78;23.5;6.4;3.7;3.8;1.6;0.1;0.418;0.207;0.647;2.4;0.064;2007
0;1;Kevin Durant;19;SEA;90.0;545.0;625;0.872;80;34.6;20.3;4.4;2.4;1.0;0.9;0.43;0.288;0.873;2.3;0.04;2008
1;2;Al Horford;21;ATL;30.0;390.0;625;0.624;81;31.4;10.1;9.7;1.5;0.7;0.9;0.499;0.0;0.731;5.5;0.103;2008
2;3;Luis Scola;27;HOU;5.0;146.0;625;0.234;82;24.7;10.3;6.4;1.3;0.7;0.2;0.515;0.0;0.668;6.5;0.154;2008
3;4;Al Thornton;24;LAC;0.0;30.0;625;0.048;79;27.3;12.7;4.5;1.2;0.6;0.5;0.429;0.331;0.743;1.1;0.025;2008
4;5;Jamario Moon;27;TOR;0.0;7.0;625;0.011;78;27.8;8.5;6.2;1.2;1.0;1.4;0.485;0.328;0.741;5.7;0.126;2008
